2025/12/19 16:10:20 INFO  : ds3/test/00c0a5b0b5780839679ddcede9da56df.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/117dfcd861d1144dfc23bce3e2007983.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/15fe605038b671a70437826e58410042.npy: Copied (new)
2025/12/19 16:10:27 INFO  : ds3/test/15ccdd45ac86efe6469a4d992dd495a0.npy: Copied (new)
2025/12/19 16:10:27 INFO  : ds3/test/1773d5d3afa88e5aa39f6df9c8e775f5.npy: Copied (new)
2025/12/19 16:10:27 INFO  : ds3/test/19b69f9cc3a6493ca0c3dc79642f5add.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/1ae7cc9f6bdd04c980aaf323b0eeebee.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/1a87a7a1079a4a7740ad60efa74223f4.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/1b9fbd0f45f43ca8107edb73376b9d06.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/1cf3f8156001e5733f02524113fd6732.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/113cc2b4fb612cecf0a5d61b730e798d.npy: Copied (new)
2025/12/19 16:10:28 INFO  : ds3/test/1b92d63038ebeb0939f50aa643bbff85.npy: Copied (new)
2025/12/19 16:10:29 INFO  : ds3/test/0be9a401d4009ab57627b58ba2810c71.npy: Copied (new)
2025/12/19 16:10:30 INFO  : ds3/test/0a1b35503f4987d4cd2f678528a4aaab.npy: Copied (new)
2025/12/19 16:10:30 INFO  : ds3/test/1f029b5655a40cef983518132a935510.npy: Copied (new)
2025/12/19 16:10:30 INFO  : ds3/test/20cb2b16ffea2c4bdf40e0783c167fea.npy: Copied (new)
2025/12/19 16:10:30 INFO  : ds3/test/219b77af40cb65dc0408841412ac9a7e.npy: Copied (new)
2025/12/19 16:10:31 INFO  : ds3/test/1ff55afa292fca3f6a88f81e91774451.npy: Copied (new)
2025/12/19 16:10:31 INFO  : ds3/test/22fee7a89bd03f32f948cfc04d8a9854.npy: Copied (new)
2025/12/19 16:10:31 INFO  : ds3/test/1b6872da4bb6a35936619a5909665e36.npy: Copied (new)
2025/12/19 16:10:31 INFO  : ds3/test/1d1166b3fd8e95b90a142709694a5e87.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/1f3d715d567a9fc92acf0ce736be9f79.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/1ff780f5538a9e7e1210b2eafb1a9059.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/2421c3c8264435a0ce0affac02997449.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/248eac62a1d96a9e4d06d83cfccbac11.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/23ac7e2d4cd6395136fb3087173f7164.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/1bd3e887b398b5a4cb53695c038a7896.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/28257234b0e8b425e45bb925519c1d09.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/271c6ae18792744d31c83e2dfbd65e1b.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/289a7772cabe1563f3494d60d9847f32.npy: Copied (new)
2025/12/19 16:10:32 INFO  : ds3/test/2817656cbdfcbf9065fb5cbb4353c966.npy: Copied (new)
2025/12/19 16:10:33 INFO  : ds3/test/28e42d7642174644dc46ea9283fcaf05.npy: Copied (new)
2025/12/19 16:10:33 INFO  : ds3/test/297004a16f7ff13d931eb8229a5fb55d.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/28ea761ab91bee427b22bcfd8b7cafb4.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/2b1df10b14fed1f96c977d5e80ca1b12.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/2b91944c206a75344f5bdd073cf11633.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/2b3059b4d01147ada836b88264ce10b8.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/2cef58240336378b7fc1f7dd6ad94b25.npy: Copied (new)
2025/12/19 16:10:34 INFO  : ds3/test/2aa3c47238c9dea65db343f2d5e8c199.npy: Copied (new)
2025/12/19 16:10:35 INFO  : ds3/test/2eb8b2174cdc353bf6fe094b250696af.npy: Copied (new)
2025/12/19 16:10:35 INFO  : ds3/test/29904c8800d9f22bf76c2ee45c243001.npy: Copied (new)
2025/12/19 16:10:35 INFO  : ds3/test/2d8d680b7efe2e233bf134e7650877b8.npy: Copied (new)
2025/12/19 16:10:35 INFO  : ds3/test/2d610f507b7f5c4863011142d6f00b66.npy: Copied (new)
2025/12/19 16:10:35 INFO  : ds3/test/2f0e07ae836bce0c25eb431521814683.npy: Copied (new)
2025/12/19 16:10:36 INFO  : ds3/test/2f9146154a094191ead6524771c91763.npy: Copied (new)
2025/12/19 16:10:36 INFO  : ds3/test/322c0deb9f7c97f33a242b4e0314f6b7.npy: Copied (new)
2025/12/19 16:10:36 INFO  : ds3/test/31a8d5d6b24112c918c1f2301da883de.npy: Copied (new)
2025/12/19 16:10:36 INFO  : ds3/test/31b802b936a44dcc39525658a1afbe38.npy: Copied (new)
2025/12/19 16:10:37 INFO  : ds3/test/316de6cf868e8ca5eb711478e1a5a9d9.npy: Copied (new)
2025/12/19 16:10:37 INFO  : ds3/test/32ed12b48e915e3efb3099a3304ebef0.npy: Copied (new)
2025/12/19 16:10:37 INFO  : ds3/test/32e2b61c84dfad23527561db9f61ccc6.npy: Copied (new)
2025/12/19 16:10:37 INFO  : ds3/test/329e2f3707e4936c83de37deede66297.npy: Copied (new)
2025/12/19 16:10:38 INFO  : ds3/test/350d6fc96b3b0547a008ef2897880a8f.npy: Copied (new)
2025/12/19 16:10:38 INFO  : ds3/test/360e375ee0c3fef8b30883b3848c4acf.npy: Copied (new)
2025/12/19 16:10:38 INFO  : ds3/test/3577d5808f7b113f8f176812ac597a42.npy: Copied (new)
2025/12/19 16:10:38 INFO  : ds3/test/2fa0c7b0755517510b373d3f9addb5ab.npy: Copied (new)
2025/12/19 16:10:38 INFO  : ds3/test/3602022bff9ac43c3535fbc7d2b19dce.npy: Copied (new)
2025/12/19 16:10:39 INFO  : ds3/test/375ed6ed0c3971731bb5ac058df6c66a.npy: Copied (new)
2025/12/19 16:10:39 INFO  : ds3/test/367f18f5d2e47438a1231eef87a157df.npy: Copied (new)
2025/12/19 16:10:39 INFO  : ds3/test/35ea5f7d9b3b9f2e950206fba19e7a5e.npy: Copied (new)
2025/12/19 16:10:40 INFO  : ds3/test/37ac2f9e4d12dc4c5f32eae10e1a03db.npy: Copied (new)
2025/12/19 16:10:40 INFO  : ds3/test/3947311c592cf92ed4395fbff8fd82c7.npy: Copied (new)
2025/12/19 16:10:40 INFO  : ds3/test/37796dd335f529e2df8bf6b158992d2b.npy: Copied (new)
2025/12/19 16:10:40 INFO  : ds3/test/33def81b37a36ee1c36a979329bc2645.npy: Copied (new)
2025/12/19 16:10:40 INFO  : ds3/test/38fd462283d8f283e4b2a31f23cc21b7.npy: Copied (new)
2025/12/19 16:10:41 INFO  : ds3/test/3a73bd3aec502afc78f6ded2938edf5b.npy: Copied (new)
2025/12/19 16:10:41 INFO  : ds3/test/3aac4fda0623c80ca2cd9fac3ba7cd8c.npy: Copied (new)
2025/12/19 16:10:41 INFO  : ds3/test/3b05cc145d35929d1cd14b8c3aeda30d.npy: Copied (new)
2025/12/19 16:10:41 INFO  : ds3/test/37ed93ed9c3d9cf74340412b7f45a16f.npy: Copied (new)
2025/12/19 16:10:42 INFO  : ds3/test/3ead2e5f9fe95921be9c3579ee2ba5dc.npy: Copied (new)
2025/12/19 16:10:42 INFO  : ds3/test/3ba2d3e2c503aa91f59da1badc1be399.npy: Copied (new)
2025/12/19 16:10:42 INFO  : ds3/test/3d4701000a12f1d5803686b6f42508e3.npy: Copied (new)
2025/12/19 16:10:42 INFO  : ds3/test/3d2e5e371eecc067a7604fb6a525d79c.npy: Copied (new)
2025/12/19 16:10:42 INFO  : ds3/test/3d1025da67db7a19bf5e74445ec43400.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/3d97bc1d1bc71ad89056b5dabd925262.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/3ee1bc7a77ec1bd9f215f47bec0e79d3.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/4241c0e2b55e98599362946599fff6e0.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/3b2dd56b30bde72c3308a96fadefe66a.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/42b3142dcb523ac51080a3814da13e2e.npy: Copied (new)
2025/12/19 16:10:43 INFO  : ds3/test/41f707770f14c779cb48d14e4755f705.npy: Copied (new)
2025/12/19 16:10:44 INFO  : ds3/test/43ab2cde1bf5f48ec2256574ade3e378.npy: Copied (new)
2025/12/19 16:10:44 INFO  : ds3/test/3e09682902f67fe24f513bdfe7c120e6.npy: Copied (new)
2025/12/19 16:10:44 INFO  : ds3/test/42cf1281305defb88ff24830aa4ccbc5.npy: Copied (new)
2025/12/19 16:10:44 INFO  : ds3/test/45f5e91ca153db4ccd663bde4a0b87b6.npy: Copied (new)
2025/12/19 16:10:45 INFO  : ds3/test/4719753be6e0f675e58c4f2e183dce4d.npy: Copied (new)
2025/12/19 16:10:45 INFO  : ds3/test/379a0fda419c7c90b046730321bb6d81.npy: Copied (new)
2025/12/19 16:10:45 INFO  : ds3/test/49f35451db7b8404ef61f876843c6e02.npy: Copied (new)
2025/12/19 16:10:45 INFO  : ds3/test/49e6aaa5be5fb2fa97b6a28b3202e851.npy: Copied (new)
2025/12/19 16:10:45 INFO  : ds3/test/4afdfef83fd9834ec13fc3b521513fc2.npy: Copied (new)
2025/12/19 16:10:46 INFO  : ds3/test/46551afe57c861a160e0801871afafbe.npy: Copied (new)
2025/12/19 16:10:46 INFO  : ds3/test/49647b70cc01b56e682ab05e4baa3a05.npy: Copied (new)
2025/12/19 16:10:46 INFO  : ds3/test/49b62f69fefb4624e005876e5d8fbd08.npy: Copied (new)
2025/12/19 16:10:46 INFO  : ds3/test/490a635b3bc55f3a0a85ff479681bce4.npy: Copied (new)
2025/12/19 16:10:46 INFO  : ds3/test/4b0eea81f13c003b0a4c81586696f710.npy: Copied (new)
2025/12/19 16:10:47 INFO  : ds3/test/4a83287d28bcfcdf4f3e7b3d8e801c77.npy: Copied (new)
2025/12/19 16:10:47 INFO  : ds3/test/4b16a7d9dec1e050db5a6ec7dd346845.npy: Copied (new)
2025/12/19 16:10:47 INFO  : ds3/test/4bd093268315b6fc6a87809225748459.npy: Copied (new)
2025/12/19 16:10:47 INFO  : ds3/test/4d23244f82fe3408276066c53602fe5e.npy: Copied (new)
2025/12/19 16:10:47 INFO  : ds3/test/4ccf2c63ae70c14d2c78125bed0c2187.npy: Copied (new)
2025/12/19 16:10:48 INFO  : ds3/test/4d29533aedd898e33686426676a58f27.npy: Copied (new)
2025/12/19 16:10:48 INFO  : ds3/test/4c9c324520d1ae1baa85146452c5bbba.npy: Copied (new)
2025/12/19 16:10:48 INFO  : ds3/test/475af1a90129267bd544dad93e4a0efa.npy: Copied (new)
2025/12/19 16:10:48 INFO  : ds3/test/50ea612641238ed6870a7294ad85d049.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/50ad34acb216f1e91e1a786c5a7e10d9.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/4d6f6384a1d3148182b1e3a9926ab819.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/4f2a1e9a4dbdcbaf43692a43fa070007.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/53f2bad4e24cd28846e634fbf54cc984.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/545cea8071a0e2757bd647323c400112.npy: Copied (new)
2025/12/19 16:10:49 INFO  : ds3/test/530d6dfbf4a89e23735898ddb61826b9.npy: Copied (new)
2025/12/19 16:10:50 INFO  : ds3/test/55b4652753550837c823eed28505ef8d.npy: Copied (new)
2025/12/19 16:10:50 INFO  : ds3/test/56808fa2f8458719af48f0a8466dd613.npy: Copied (new)
2025/12/19 16:10:50 INFO  : ds3/test/54c1a6158da5d181ece06a8f40c3c3e2.npy: Copied (new)
2025/12/19 16:10:50 INFO  : ds3/test/587e8fc7a26430a81fc4cc698870dcd6.npy: Copied (new)
2025/12/19 16:10:50 INFO  : ds3/test/578bc9577da6134c8172e0b65f393c58.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/4d6dcd5a414c0cfeafa0dd1cb6781752.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/58260146e2997f1a42f9444f6cecd214.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/58a3f8a4e3f94ea3eca08acf7dabcf54.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/58f5ffe14fa05cd86dd20ed2face8ea0.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/5baaeb2a287bcbda3c953f9c66b3a10d.npy: Copied (new)
2025/12/19 16:10:51 INFO  : ds3/test/5b0d2a8ff3502370dc1a1337da085ebb.npy: Copied (new)
2025/12/19 16:10:52 INFO  : ds3/test/5e11d822d535d31be20ea19d9ae49bd8.npy: Copied (new)
2025/12/19 16:10:52 INFO  : ds3/test/5cb9bca2047489b335cda57f02092f96.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/5bf9ea7bccba9069024491f605410170.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/5c12255f0d70246e7893fc5449c4e5d0.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/6282b73f1de8cd03e3371d709cfabdf8.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/62d591b69f387066fdf47b864d1ef1dd.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/6177311b8e3c49536f7d30f086d75fbd.npy: Copied (new)
2025/12/19 16:10:53 INFO  : ds3/test/5e7390e44ab3d00d389b7405f021ab21.npy: Copied (new)
2025/12/19 16:10:54 INFO  : ds3/test/62d9644901ae3ed9ca791b17a72bc872.npy: Copied (new)
2025/12/19 16:10:54 INFO  : ds3/test/60af06caf1973a962d80443020365b10.npy: Copied (new)
2025/12/19 16:10:54 INFO  : ds3/test/5cee879bf12acf975b0505df22a66fbc.npy: Copied (new)
2025/12/19 16:10:54 INFO  : ds3/test/62dc06c229ba6de22f14dfb57aea4d2e.npy: Copied (new)
2025/12/19 16:10:55 INFO  : ds3/test/6398b6ebba86cec7c553847729147f7a.npy: Copied (new)
2025/12/19 16:10:55 INFO  : ds3/test/62bd30fc4ed3db65ed128b83bb73d595.npy: Copied (new)
2025/12/19 16:10:55 INFO  : ds3/test/63dc4e4a2f8e1eac1974421f17da9af4.npy: Copied (new)
2025/12/19 16:10:55 INFO  : ds3/test/6321a7b0b845a3dde815607b7d32cd2b.npy: Copied (new)
2025/12/19 16:10:55 INFO  : ds3/test/64111cb2e23bf09b8025d0d8a46224c8.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/65c40ddd6206c48defd2b2f55ce8d109.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/65feafe0dddd5a5b54eb041cf9e3b29a.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/62de73e365f83a58ff39b65bc92dad34.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/666754a31b13a81a01bac8db1624385f.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/692858f530f35396788f4d1f0687676a.npy: Copied (new)
2025/12/19 16:10:56 INFO  : ds3/test/5fcff788c4b6c1ad0d6d68664786dedc.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/6a850f0f2728cb1cc2cfd047dadf52b7.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/64e0d9cee66e0a67086e7131e621f073.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/692cf39082cbfb60e8d2dfc4ca9b4a66.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/6b3fa66addf3a756589b232f558a2c83.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/682f5e26fc051f20bb8e0adfc797cbe4.npy: Copied (new)
2025/12/19 16:10:57 INFO  : ds3/test/6c1ba2729e591757d376d6b8aec176e1.npy: Copied (new)
2025/12/19 16:10:58 INFO  : ds3/test/6e48ce44e5ff8137faaff356b5026def.npy: Copied (new)
2025/12/19 16:10:58 INFO  : ds3/test/6c563dd6e685eaeee4fff6b9e9be7851.npy: Copied (new)
2025/12/19 16:10:58 INFO  : ds3/test/6ea2d8e8a613ffab109177fcdf51b74e.npy: Copied (new)
2025/12/19 16:10:58 INFO  : ds3/test/6da487382b515ed5a5bc3706a2e845e2.npy: Copied (new)
2025/12/19 16:10:59 INFO  : ds3/test/6ffffe9d853cc0140d0a6606c8dc3be4.npy: Copied (new)
2025/12/19 16:10:59 INFO  : ds3/test/70894ff30a81f8b50698decfae6e256d.npy: Copied (new)
2025/12/19 16:10:59 INFO  : ds3/test/718f1489d7c98230ae7260459501a20c.npy: Copied (new)
2025/12/19 16:10:59 INFO  : ds3/test/71f15174a265812e85637bf992ba909e.npy: Copied (new)
2025/12/19 16:10:59 INFO  : ds3/test/7259af0598cf431694b91c63fd0a24d1.npy: Copied (new)
2025/12/19 16:11:00 INFO  : ds3/test/7481c18d2a8a4c3063c220e02fabb14d.npy: Copied (new)
2025/12/19 16:11:00 INFO  : ds3/test/734a7e2b4680644f7b54557850629543.npy: Copied (new)
2025/12/19 16:11:00 INFO  : ds3/test/7455f6f58c7e81d87ac1a604c5bd7bec.npy: Copied (new)
2025/12/19 16:11:00 INFO  : ds3/test/6eb7e5711f6ad9d7820166b1dede3a75.npy: Copied (new)
2025/12/19 16:11:00 INFO  : ds3/test/741fdc78b9ab69789e9a41b16a18f5b4.npy: Copied (new)
2025/12/19 16:11:01 INFO  : ds3/test/744ef1ff2a93e95667a89e69b4eb377e.npy: Copied (new)
2025/12/19 16:11:01 INFO  : ds3/test/7731ca86f91f02de05004a246fa9c4f4.npy: Copied (new)
2025/12/19 16:11:01 INFO  : ds3/test/7717c1f1a2e21afc2e3498f844a5819c.npy: Copied (new)
2025/12/19 16:11:01 INFO  : ds3/test/787c3154f43b949d81e59914410ee5e2.npy: Copied (new)
2025/12/19 16:11:01 INFO  : ds3/test/74f45dad45e89a35f38804f3656bff4f.npy: Copied (new)
2025/12/19 16:11:02 INFO  : ds3/test/79fbad0173f7321c5ef5e706b09d0488.npy: Copied (new)
2025/12/19 16:11:02 INFO  : ds3/test/7d36f6d245c657669cb622f96c6c6a56.npy: Copied (new)
2025/12/19 16:11:02 INFO  : ds3/test/78db6ec0f6b9cc1334c569cd8aaabeef.npy: Copied (new)
2025/12/19 16:11:03 INFO  : ds3/test/79a8a17e2bfed4984dcb51a0302299d5.npy: Copied (new)
2025/12/19 16:11:03 INFO  : ds3/test/7ce1f06bc54a13fd78a6ddcbfc582368.npy: Copied (new)
2025/12/19 16:11:03 INFO  : ds3/test/7e8dce6e6bd4a4474de564859dac0294.npy: Copied (new)
2025/12/19 16:11:03 INFO  : ds3/test/793d6bd2759678d46e2ae85a87029f6d.npy: Copied (new)
2025/12/19 16:11:03 INFO  : ds3/test/80c032326d6a360f626216dc582c33fc.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/8068ba3d992454508626d2bdbb81c478.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/8240e9e5af4350f8e95f7fefbc4b54e1.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/81099ffd00123bfb0371727a562d12e6.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/7d4d2fb8700d6f310985aad82ef89e8d.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/7a7eb2b6c2ca5220f6df582db3116c4e.npy: Copied (new)
2025/12/19 16:11:04 INFO  : ds3/test/8260b13474bbc656dfe9afbddcd81221.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/83daeef16dfcf59e5a4f2a2d835402d0.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/832c4474384b2605a974b7e64bce6bb9.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/84aa06f50e6ab01750221fc8ebf3c4b9.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/7ea4b3d43d8e5d6aee8fc5d5359c993a.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/8876a2a270aa63d1df97435c88b8c873.npy: Copied (new)
2025/12/19 16:11:05 INFO  : ds3/test/8930e4699c4db4cee22bf0628a9f5aec.npy: Copied (new)
2025/12/19 16:11:06 INFO  : ds3/test/87ef85e965399491b2692ce622ca847e.npy: Copied (new)
2025/12/19 16:11:06 INFO  : ds3/test/8c7ef50ff41876f7bd93e14c20e8252e.npy: Copied (new)
2025/12/19 16:11:06 INFO  : ds3/test/893b11972611535c121ca423483cc2d7.npy: Copied (new)
2025/12/19 16:11:06 INFO  : ds3/test/8dc439531bf4d3c55a5d98d6bb143cc4.npy: Copied (new)
2025/12/19 16:11:07 INFO  : ds3/test/870586e7205099eeb277843beb1349f6.npy: Copied (new)
2025/12/19 16:11:07 INFO  : ds3/test/8a6b900c36de4794b42cbc776a41a4b6.npy: Copied (new)
2025/12/19 16:11:07 INFO  : ds3/test/8ef110eba7fb57c731552c9ba9a52a93.npy: Copied (new)
2025/12/19 16:11:07 INFO  : ds3/test/8fedbc81557c6dbb6748324b24e50ac2.npy: Copied (new)
2025/12/19 16:11:08 INFO  : ds3/test/91f861e63ee6049948f33fe59ce422c1.npy: Copied (new)
2025/12/19 16:11:08 INFO  : ds3/test/8cca6e35ac6ea8738548115a07b1fffd.npy: Copied (new)
2025/12/19 16:11:08 INFO  : ds3/test/8f6396b4c80c1ec7bfae47bad962e2ee.npy: Copied (new)
2025/12/19 16:11:08 INFO  : ds3/test/927f2935b11887d702b769925762bac3.npy: Copied (new)
2025/12/19 16:11:08 INFO  : ds3/test/8f3796dc09c17b4b017e680b35498dbd.npy: Copied (new)
2025/12/19 16:11:09 INFO  : ds3/test/92ccbe5471b5c93cbd21b1ba612f91d9.npy: Copied (new)
2025/12/19 16:11:09 INFO  : ds3/test/9395155211fe1190ec9e5f4d2208b3ae.npy: Copied (new)
2025/12/19 16:11:09 INFO  : ds3/test/93876f236da81e11d43e77234496cac7.npy: Copied (new)
2025/12/19 16:11:09 INFO  : ds3/test/941aab4cc725b9ba416100c1aa9d8291.npy: Copied (new)
2025/12/19 16:11:09 INFO  : ds3/test/9553cba74c0662dc3bd85af14086663a.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/8f993501fdf98c5a963648458842161c.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/942c7cc78f4d50e77f1e0716233825fd.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/983893232f330cdb98eddfece806749a.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/9483f394bc26f4e7171ba87a758f48c4.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/959378ca792d5411df63ebbc5bdd77dc.npy: Copied (new)
2025/12/19 16:11:10 INFO  : ds3/test/9792e5af934ea4a30444ea7729c3e4b6.npy: Copied (new)
2025/12/19 16:11:11 INFO  : ds3/test/9943d403d9909505ee9f4ccd98aa7ebd.npy: Copied (new)
2025/12/19 16:11:11 INFO  : ds3/test/96d53ada73567c1e7c03dc7a648edf8b.npy: Copied (new)
2025/12/19 16:11:11 INFO  : ds3/test/9e2de3a104cddda891220469f3a3a58b.npy: Copied (new)
2025/12/19 16:11:11 INFO  : ds3/test/9aa595a947aaf5aad0530d56a91f65d0.npy: Copied (new)
2025/12/19 16:11:12 INFO  : ds3/test/9d467e3a184561353040cd72553cc592.npy: Copied (new)
2025/12/19 16:11:12 INFO  : ds3/test/9b320dd91a95e7a5b1c684ce6d24e5ee.npy: Copied (new)
2025/12/19 16:11:12 INFO  : ds3/test/a007974bf058b2375a3187f0d58695db.npy: Copied (new)
